Title,Proficiency,User
English,,mohamed-abdelhakeem-824681ab
very good,,mohamed-abdelhakeem-824681ab
Arabic,Native or bilingual proficiency,mohamed-abdelmaksoud-sw-engineer
English,Full professional proficiency,mohamed-abdelmaksoud-sw-engineer
Arabic,Native or bilingual proficiency,mohamed-adel-973621135
English,Professional working proficiency,mohamed-adel-973621135
Arabic,Native or bilingual proficiency,mohamed-adel769
English,Full professional proficiency,mohamed-adel769
Arabic,Full professional proficiency,mohamed-ahmed-salman-147816124
English,Professional working proficiency,mohamed-ahmed-salman-147816124
Arabic,Native or bilingual proficiency,mohamed-atef-2020
English,Professional working proficiency,mohamed-atef-2020
German,Limited working proficiency,mohamed-atef-2020
Arabic,Native or bilingual proficiency,mohamed-atef-a89a8b33
English,Professional working proficiency,mohamed-atef-a89a8b33
French,Elementary proficiency,mohamed-atef-a89a8b33
English,Professional working proficiency,mohamed-ayman-843920116
French,Limited working proficiency,mohamed-ayman-843920116
Spanish,Elementary proficiency,mohamed-ayman-843920116
Arabic,Native or bilingual proficiency,mohamed-effat
English,Full professional proficiency,mohamed-effat
Arabic,Native or bilingual proficiency,mohamed-gaballah-843a97197
English,Full professional proficiency,mohamed-gaballah-843a97197
French,Full professional proficiency,mohamed-gaballah-843a97197
Arabic,Native or bilingual proficiency,mohamed-gabr-a306971b1
English,Native or bilingual proficiency,mohamed-gabr-a306971b1
French,Native or bilingual proficiency,mohamed-gabr-a306971b1
Arabic,Native or bilingual proficiency,mohamed-gamal-el-din-90b83958
English,Full professional proficiency,mohamed-gamal-el-din-90b83958
Arabic,Native or bilingual proficiency,mohamed-monem-abo-elela-9a4a44223
English,Full professional proficiency,mohamed-monem-abo-elela-9a4a44223
French,Elementary proficiency,mohamed-monem-abo-elela-9a4a44223
English,Professional working proficiency,mohamed-mostafa-abdallah-76956828
Arabic,,mohamed-mrzok-52722b74
English,,mohamed-mrzok-52722b74
Arabic,Native or bilingual proficiency,mohamed-osama-eliwa-2139b7163
English,Full professional proficiency,mohamed-osama-eliwa-2139b7163
Arabic,Native or bilingual proficiency,mohamed-samir-salem
English,Professional working proficiency,mohamed-samir-salem
Arabic,Native or bilingual proficiency,mohamed-shawky
English,Full professional proficiency,mohamed-shawky
French,Elementary proficiency,mohamed-shawky
Arabic,Native or bilingual proficiency,mohamed-sief-74006115
English,,mohamed-sief-74006115
English,Limited working proficiency,mohamed-waheed-2074a4213
Arabic,Native or bilingual proficiency,mohamedawwad-sd
English,Full professional proficiency,mohamedawwad-sd
French,Elementary proficiency,mohamedawwad-sd
Arabic,,mohamedelbastawesy
English,,mohamedelbastawesy
Arabic,Native or bilingual proficiency,mohamedhashem
English,Professional working proficiency,mohamedhashem
Egyptian (Ancient),Native or bilingual proficiency,mohamedmagdymostafa
English,Limited working proficiency,mohamedmagdymostafa
Arabic,Native or bilingual proficiency,mohamedsalah4
English,Professional working proficiency,mohamedsalah4
Arabic,Native or bilingual proficiency,mohamedtaman
English,Native or bilingual proficiency,mohamedtaman
French,Elementary proficiency,mohamedtaman
English,,mohammad-ismail-b6771560
Arabic,,mohammad-shaker-84117668
English,,mohammad-shaker-84117668
Arabic,Native or bilingual proficiency,mohammad1722
English,Professional working proficiency,mohammad1722
Arabic,Native or bilingual proficiency,mohammed-abdullah-52b700121
English,Professional working proficiency,mohammed-abdullah-52b700121
English,Professional working proficiency,mohammed-abdullah-52b700121
Arabic,Native or bilingual proficiency,mohammed-akl-8567a61a7
English,Professional working proficiency,mohammed-akl-8567a61a7
German,Elementary proficiency,mohammed-akl-8567a61a7
Arabic,,mohammed-al-ammary-0b591763
English,,mohammed-al-ammary-0b591763
little Russian,,mohammed-al-ammary-0b591763
Arabic,Native or bilingual proficiency,mohammed-raafat
English,Full professional proficiency,mohammed-raafat
Arabic,Native or bilingual proficiency,mohammed-rammah-2b6358214
English,Professional working proficiency,mohammed-rammah-2b6358214
Germany,Elementary proficiency,mohammed-rammah-2b6358214
Arabic,Native or bilingual proficiency,mohammed-salah-093a85a7
English,Full professional proficiency,mohammed-salah-093a85a7
Arabic,Native or bilingual proficiency,mohammedhossam
English,Full professional proficiency,mohammedhossam
Arabic,,mohsenmoawad
English,,mohsenmoawad
Arabic,Native or bilingual proficiency,mona-shafiq-pmp-itil-68b435b3
English,Full professional proficiency,mona-shafiq-pmp-itil-68b435b3
Arabic,Native or bilingual proficiency,moqbel-elseaedy-92b2a913b
English,Professional working proficiency,moqbel-elseaedy-92b2a913b
Turkish,Elementary proficiency,moqbel-elseaedy-92b2a913b
English,Professional working proficiency,morsi-mohsen-1a2a32171
العربية,Native or bilingual proficiency,morsi-mohsen-1a2a32171
Arabic,,mosaosama
English,,mosaosama
Arabic,Native or bilingual proficiency,mostafa-alaa-gharieb
English,Full professional proficiency,mostafa-alaa-gharieb
French,Elementary proficiency,mostafa-alaa-gharieb
Arabic,,mostafa-ayman-261949155
English,,mostafa-ayman-261949155
Arabic,Native or bilingual proficiency,mostafa-eissa-16356b12a
English,Full professional proficiency,mostafa-eissa-16356b12a
Arabic,Native or bilingual proficiency,mostafa-gamal-badawy
English,Full professional proficiency,mostafa-gamal-badawy
Spanish,Professional working proficiency,mostafa-gamal-badawy
Arabic,Native or bilingual proficiency,mostafa-hassan-backend-dev
English,Professional working proficiency,mostafa-hassan-backend-dev
Arabic,,mostafa-kashwaa
English,,mostafa-kashwaa
French,,mostafa-kashwaa
Arabic,,mostafa-saad-699b3631
English,,mostafa-saad-699b3631
English,,mostafaarefaat
Arabic,Native or bilingual proficiency,mostafakandil86
English,Limited working proficiency,mostafakandil86
Arabic,Native or bilingual proficiency,mostafakassem1
English,Full professional proficiency,mostafakassem1
Arabic,Native or bilingual proficiency,mostafamohammed05
English,Full professional proficiency,mostafamohammed05
Arabic,,motazmohamed
English,,motazmohamed
Arabic,Native or bilingual proficiency,moustafamohsen
English,Full professional proficiency,moustafamohsen
Arabic,Native or bilingual proficiency,mtaherelkholy
English,Professional working proficiency,mtaherelkholy
Arabic,,muhamed-khedr
English,,muhamed-khedr
Arabic,Native or bilingual proficiency,muhammed-aly
English,Professional working proficiency,muhammed-aly
Italian,Elementary proficiency,muhammed-aly
Arabic,Native or bilingual proficiency,nada-dia
English,Full professional proficiency,nada-dia
German,Elementary proficiency,nada-dia
Arabic,Native or bilingual proficiency,nada-elkhamy
English,Full professional proficiency,nada-elkhamy
French,Elementary proficiency,nada-elkhamy
Arabic,Native or bilingual proficiency,nada-hamdi-345676b3
English,Native or bilingual proficiency,nada-hamdi-345676b3
German,Elementary proficiency,nada-hamdi-345676b3
Arabic,Native or bilingual proficiency,nadertarek
English,Professional working proficiency,nadertarek
English,Professional working proficiency,nadienrashad
German,Elementary proficiency,nadienrashad
Anglais,Full professional proficiency,nermine-georges-a833a9140
Arabe,Native or bilingual proficiency,nermine-georges-a833a9140
Francais,Full professional proficiency,nermine-georges-a833a9140
English,,noha-mohamed-ali(1)
English,,noha-mohamed-ali
Arabic,,noha-samir-b07468138
English,,noha-samir-b07468138
Arabic,Native or bilingual proficiency,norhan-elsayed-8055b9123
English,Professional working proficiency,norhan-elsayed-8055b9123
German,Elementary proficiency,norhan-elsayed-8055b9123
Arabic,Native or bilingual proficiency,nourhan-elsherief-5270b185
English,Native or bilingual proficiency,nourhan-elsherief-5270b185
French,Elementary proficiency,nourhan-elsherief-5270b185
Arabic,Native or bilingual proficiency,nourhan-hosny(1)
English,Professional working proficiency,nourhan-hosny(1)
Arabic,Native or bilingual proficiency,nourhan-hosny
English,Professional working proficiency,nourhan-hosny
English,,nourhansaeed
Arabic,,oaik
English,,oaik
German,,oaik
Arabic,,omar-3
English,,omar-3
Arabic,Native or bilingual proficiency,omar-adel-808414145
English,Professional working proficiency,omar-adel-808414145
German,Limited working proficiency,omar-adel-808414145
Arabic,Native or bilingual proficiency,omar-ahmed-0999b518b
English,Full professional proficiency,omar-ahmed-0999b518b
Arabic,Native or bilingual proficiency,omar-hassan-8b1869137
English,Full professional proficiency,omar-hassan-8b1869137
Russian,Elementary proficiency,omar-hassan-8b1869137
English,Full professional proficiency,omar-hazem-57317413a
French,Elementary proficiency,omar-hazem-57317413a
Arabic,Native or bilingual proficiency,omar-kharouba
English,Professional working proficiency,omar-kharouba
Arabic,,omar-osama-632b65b8
English,,omar-osama-632b65b8
German,,omar-osama-632b65b8
Arabic,Native or bilingual proficiency,omar97cs
English,Professional working proficiency,omar97cs
Arabic,Native or bilingual proficiency,omarfasseh
English,Full professional proficiency,omarfasseh
French,Elementary proficiency,omarfasseh
Arabic,Native or bilingual proficiency,omarnael
English,Native or bilingual proficiency,omarnael
German,Elementary proficiency,omarnael
Arabic,Native or bilingual proficiency,omarosamasobeih
English,Professional working proficiency,omarosamasobeih
French,Elementary proficiency,omarosamasobeih
Arabic,Native or bilingual proficiency,omarradwan1
English,Professional working proficiency,omarradwan1
French,Elementary proficiency,omarradwan1
Arabic,Native or bilingual proficiency,omarsamy09
English,Full professional proficiency,omarsamy09
German,Elementary proficiency,omarsamy09
Arabic,Native or bilingual proficiency,omarsayed12
English,Professional working proficiency,omarsayed12
Arabic,Native or bilingual proficiency,omniia-mohyee
English,Professional working proficiency,omniia-mohyee
Korean,Elementary proficiency,omniia-mohyee
Arabic,Native or bilingual proficiency,osama-hamdy-47380313b
English,Full professional proficiency,osama-hamdy-47380313b
German,Limited working proficiency,osama-hamdy-47380313b
Arabic,Native or bilingual proficiency,osama-nabih
English,Native or bilingual proficiency,osama-nabih
French,Limited working proficiency,osama-nabih
English,Professional working proficiency,passant-osama
Arabic,Native or bilingual proficiency,peter-wagih
English,Professional working proficiency,peter-wagih
English,Full professional proficiency,radwask
Arabic,Native or bilingual proficiency,rafaeladel
English,Professional working proficiency,rafaeladel
Arabic,Native or bilingual proficiency,rami-adel-64080b1a4
English,Professional working proficiency,rami-adel-64080b1a4
German,Limited working proficiency,rami-adel-64080b1a4
Arabic,Native or bilingual proficiency,ramiabdelmoneam
English,Professional working proficiency,ramiabdelmoneam
Arabic,Native or bilingual proficiency,rana-mohamed-0295601b6
English,Full professional proficiency,rana-mohamed-0295601b6
German,Limited working proficiency,rana-mohamed-0295601b6
Arabic,Native or bilingual proficiency,rana-wael-910445117
English,Professional working proficiency,rana-wael-910445117
French,Elementary proficiency,rana-wael-910445117
Arabic,Native or bilingual proficiency,rania-wael-1638a7149
English,Full professional proficiency,rania-wael-1638a7149
French,Elementary proficiency,rania-wael-1638a7149
Arabic,Native or bilingual proficiency,redamaher
English,,redamaher
Arabic,Native or bilingual proficiency,redatawfik
English,Professional working proficiency,redatawfik
English,Native or bilingual proficiency,reem-hossam-964519138
arabic,Elementary proficiency,reham-gamal-931244149
english,Elementary proficiency,reham-gamal-931244149
Arabic,Full professional proficiency,rewaidamohamed95
English,Limited working proficiency,rewaidamohamed95
English,,riham-wazeer-88745393
Arabic,Native or bilingual proficiency,salah-ashraf-3129716b
English,Full professional proficiency,salah-ashraf-3129716b
Arabic,,salah-mostafa-136310169
English,,salah-mostafa-136310169
Arabic,Native or bilingual proficiency,salma-hanafi
English,Native or bilingual proficiency,salma-hanafi
Arabic,,salma-hassan
English,,salma-hassan
Korean,Elementary proficiency,salma-hassan
English,Full professional proficiency,salma-osama-12596sall
French,Limited working proficiency,salma-osama-12596sall
Arabic,Native or bilingual proficiency,samah-abu-shamma-47b962158
English,Professional working proficiency,samah-abu-shamma-47b962158
German,Elementary proficiency,samah-abu-shamma-47b962158
Arabic,Native or bilingual proficiency,sameh-mostafa-1539b9a3
English,Professional working proficiency,sameh-mostafa-1539b9a3
Arabic,Native or bilingual proficiency,samiiir96
English,Professional working proficiency,samiiir96
German,Elementary proficiency,samiiir96
Arabic - Native,,samy-escarous
English,,samy-escarous
German - Weak,,samy-escarous
Arabic,Native or bilingual proficiency,sara-ahmed-cufe
English,Professional working proficiency,sara-ahmed-cufe
Arabic,Native or bilingual proficiency,sara-alaa-b258b291
English,Professional working proficiency,sara-alaa-b258b291
Arabic,Native or bilingual proficiency,sara-atef-b9517012b
English,Limited working proficiency,sara-atef-b9517012b
Arabic,Native or bilingual proficiency,sara-maged-b919871a0
English,Full professional proficiency,sara-maged-b919871a0
English,Native or bilingual proficiency,sara-nasr-maher
French,Professional working proficiency,sara-nasr-maher
German,Limited working proficiency,sara-nasr-maher
English,Full professional proficiency,sarah-samir-saad-7874a414b
Arabic,Native or bilingual proficiency,seif-eldin-elsaeed-8b0572182
English,Full professional proficiency,seif-eldin-elsaeed-8b0572182
Arabic,Native or bilingual proficiency,shaban-abdelfatah-9050a548
English,Full professional proficiency,shaban-abdelfatah-9050a548
English,Professional working proficiency,shady-eldawy-636a441b3
Arabic,Native or bilingual proficiency,shady-mohamed
English,,shady-mohamed
German,,shady-mohamed
Arabic,,shehab-eldean-ahmed-1b563b130
English,,shehab-eldean-ahmed-1b563b130
Arabic,,sherefshokry
English,,sherefshokry
Arabic,Native or bilingual proficiency,sherif-ashraf-78599b176
English,Full professional proficiency,sherif-ashraf-78599b176
Arabic,Native or bilingual proficiency,sherifmedhat
English,Professional working proficiency,sherifmedhat
French,Elementary proficiency,sherifmedhat
Arabic,Native or bilingual proficiency,shimaa-el-maghraby
English,Limited working proficiency,shimaa-el-maghraby
Arabic,Native or bilingual proficiency,shimaa-sayed
English,Full professional proficiency,shimaa-sayed
English,Native or bilingual proficiency,shorouk-nabil-shokr-b5186571
Arabic,Native or bilingual proficiency,shrok-ayman-zain-472590188
English,Professional working proficiency,shrok-ayman-zain-472590188
Arabic,Native or bilingual proficiency,taha-gamil-448b4249
English,Professional working proficiency,taha-gamil-448b4249
English,,yasmina-salah
English,Full professional proficiency,yasmina-tarek-220a06173
Arabic,,yasser-mohamed-15317b147
English,,yasser-mohamed-15317b147
Arabic,Native or bilingual proficiency,yehia-elsayed-396398177
English,Professional working proficiency,yehia-elsayed-396398177
Arabic,Native or bilingual proficiency,yomna-abdulwahab
English,Native or bilingual proficiency,yomna-abdulwahab
Arabic,,yomna-safaa-el-din
English,,yomna-safaa-el-din
Arabic,Native or bilingual proficiency,yousof-osama
English,Full professional proficiency,yousof-osama
French,Elementary proficiency,yousof-osama
Deutsch,Elementary proficiency,youssef-abdelhameed
English,Elementary proficiency,youssef-abdelhameed
Arabic,Native or bilingual proficiency,youssefsfahmy
English,Native or bilingual proficiency,youssefsfahmy
French,Elementary proficiency,youssefsfahmy
Arabic,Native or bilingual proficiency,zeyadetman
English,Full professional proficiency,zeyadetman
French,Elementary proficiency,zeyadetman
Arabic,Native or bilingual proficiency,zeyadosama
English,Native or bilingual proficiency,zeyadosama
French,Elementary proficiency,zeyadosama
Arabic,Native or bilingual proficiency,ziad-amerr
English,Native or bilingual proficiency,ziad-amerr
French,Limited working proficiency,ziad-amerr
Arabic,Native or bilingual proficiency,ziad-madkour
English,Full professional proficiency,ziad-madkour
Arabic,Native or bilingual proficiency,zienabmuhammad
English,Professional working proficiency,zienabmuhammad
