name,logo,banner,description,tagLine,followerCount,website,domain,location,companyAddress,phone,industry,companySize,headquarters,founded,specialties,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,error,isClaimable
acmASCIS Student Chapter,https://media.licdn.com/dms/image/C4D0BAQGDRDN2v_TYwg/company-logo_200_200/0/1519901301949?e=1691625600&v=beta&t=__tBDtQzD_FFncbkvzjgHQYPpyzMVOAV-WvHhn8Q6UA,,"So, what's that ACM thing? What does acmASCIS stand for?
What's that whole thing about? Here are a few answer to start with ...

What's ACM?
ACM stands for the ""Association for Computing Machinery"".

What's acmASCIS?
acmASCIS is a student chapter of the global ACM. The ASCIS part stands for ""Ain Shams Computer and Information Sciences"", as this particular student chapter belongs to the Faculty of Computers and Information Sciences (FCIS), AinShams University, Cairo, Egypt. 

acmASCIS Goals:
1) Spreading knowledge in faculty.
2) Qualify students to reach ACM world finals",,2672,http://www.acmascis.net/,acmascis.net,,"54265, EG",,Software Development,11-50 employees,,2003,"Training, Algorithms, and Data Structures",855534,855534,https://www.linkedin.com/sales/company/855534/,48,acmASCIS Student Chapter,https://www.linkedin.com/company/855534/,2023-05-05T15:38:04.202Z,https://www.linkedin.com/company/acmascis-student-chapter/,,
CodeCaique,https://media.licdn.com/dms/image/C4D0BAQHLDurJB9ZW3g/company-logo_200_200/0/1582972064343?e=1691625600&v=beta&t=MJUdwFL4HzDpv0iSfPOlvdQiYkHKIQyuM-5nw0KobLY,https://media.licdn.com/dms/image/C511BAQGn_gpXoHwj4w/company-background_10000/0/1519799494929?e=1683907200&v=beta&t=Xgwkkop8E9RPLDh646SmJZaUXPqh3y1y53ccao_zthU,"A growing developer community in Cairo, where they can learn, compete and get hired.",,298,http://www.codecaique.com,codecaique.com,Madinet El-Nasr,"13 Zoher Sabry St from El Tayaran St ., Madinet El-Nasr, Cairo 11765 , EG",,Strategic Management Services,11-50 employees,"Madinet El-Nasr, Cairo",2016,"Mobile Applications, Web development, Web design, Android development, IOT, Networks, ASP.net MVC, and Developers Community",18220543,18220543,https://www.linkedin.com/sales/company/18220543/,7,CodeCaique,https://www.linkedin.com/company/18220543/,2023-05-05T15:38:10.905Z,https://www.linkedin.com/company/codecaique/,,
Untap Technologies,https://media.licdn.com/dms/image/C4D0BAQEjrijOcNrqJA/company-logo_200_200/0/1643622814169?e=1691625600&v=beta&t=t25nd6IEmLTjhDr8DXmnuop8in0MkDAABpUh8ntzIXM,https://media.licdn.com/dms/image/D4D1BAQGuM80OVEm9bA/company-background_10000/0/1658862690662?e=1683907200&v=beta&t=oXz7uRmtwRMCh6eVucf8GvwO2nysgG7AqwvSzDQVQGk,"Untap is an all-in-one innovation and talent discovery platform enabling organizations to easily and efficiently plan, launch, manage, promote, and assess open innovation challenges, creative contests, hackathons, grants, scholarships, startup programs, consumer co-creation platforms, employee innovation programs, citizen engagement platforms, and more.

Our software streamlines the entire journey of any innovation or talent discovery program or platform, starting with a landing page builder, a form builder, extensive application and evaluation workflows with semi-automated screening capabilities, comprehensive analysis capabilities, and a round engine enabling program organizers to move submissions through a funnel. It includes community and collaboration features, research and ideation modules, and more.",Untap is a competition management platform that enables organizations to tap into the power of open innovation.,1296,http://www.untap.tech,untap.tech,Giza,"Ahmed Al Shatouri St. Ad Doqi, Dokki, 20, Giza, Giza 12611, EG",,"Technology, Information and Internet",11-50 employees,"Giza, Giza",2019,"innovation , hackathons, citizen engagement, open innovation, crowdsourcing, awards, competitions, grants, scholarships, consumer co-creation, and contest",11021720,11021720,https://www.linkedin.com/sales/company/11021720/,13,Untap Technologies,https://www.linkedin.com/company/11021720/,2023-05-05T15:38:17.392Z,https://www.linkedin.com/company/untap-technologies/,,
Genify,https://media.licdn.com/dms/image/C4D0BAQFBYg8ZPpB7sw/company-logo_200_200/0/1670324366340?e=1691625600&v=beta&t=gljjREnAOlifCzwdRX07OlBbjeq5vq_J173mMu_WqMI,https://media.licdn.com/dms/image/C4D1BAQEqoe0tu5TC5g/company-background_10000/0/1629887908340?e=1683907200&v=beta&t=sMkKQfd7a0fHOixa0oYzlbMkeGepar6FY-796DbkH9g,"Genify allows banks and fintechs to make personal finance management a reality in their mobile app via SaaS APIs covering data enrichment (categorization, merchant logo, website, clean name, CO2 footprint 🍃), spending analytics, spending event-based notifications, product recommendation and alternative credit decisioning.",One API 🔀 universe for spending transparency 🔎 & credit access 💸,1928,https://www.genify.ai/,https://genify.ai,☁️,"☁️, AE",,Financial Services,11-50 employees,,2019,"AI, Machine Learning, Recommender System, Credit Scoring, Personalization, Transaction Enrichment, and Credit Decisioning",54293024,54293024,https://www.linkedin.com/sales/company/54293024/,13,Genify,https://www.linkedin.com/company/54293024/,2023-05-05T15:38:24.267Z,https://www.linkedin.com/company/genify/,,
infiniwell.ai,https://media.licdn.com/dms/image/C4D0BAQFblVTP-zn2uQ/company-logo_200_200/0/1614091061950?e=1691625600&v=beta&t=xvSCGDAelebFalTK77CRlzQKtvwb_dl1nUoiC-jJgow,https://media.licdn.com/dms/image/C4D1BAQG0RPAHk__WCQ/company-background_10000/0/1614091021259?e=1683907200&v=beta&t=69eal2AqaAjI89gCv3-F4FlYbHMIS3quOW05MhAVKos,"We combine secure networking with medical devices and real-time artificial intelligence diagnostics to create the world’s first Intelligent Remote Patient Monitoring platform.

",Assistive Intelligence for Healthcare Professionals,471,https://www.infiniwell.ai/,https://infiniwell.ai,Trondheim,"Havnegata 9, Trondheim, Trøndelag 7010, NO",,IT Services and IT Consulting,2-10 employees,"Trondheim, Trøndelag",2018,,29292017,29292017,https://www.linkedin.com/sales/company/29292017/,9,infiniwell.ai,https://www.linkedin.com/company/29292017/,2023-05-05T15:38:31.223Z,https://www.linkedin.com/company/infiniwell-ai/,,
Sypron Solutions,https://media.licdn.com/dms/image/C510BAQEocp5IYPyGsg/company-logo_200_200/0/1519881286879?e=1691625600&v=beta&t=c7NO1g4ySQAVT0WaNaoXnbBs8CRD66jMFcyqLMA0YF8,https://media.licdn.com/dms/image/C4E1BAQFrB5OGwhRYCw/company-background_10000/0/1620568072858?e=1683907200&v=beta&t=k9Dh9edkHITfmikManKpDzlyL73GA1YDzsSPFOgU7Kc,"Sypron Solutions is a rapidly growing, 21st century tech company with an international team of techies. Our team spans five countries across four continents and we collaborate together to create the best solution for customers.

Our mission:

Sypron Solutions provides intelligent solutions to meet customers’ aspirations. Our mission is to deliver industry-grade solutions that spring from Artificial Intelligence concepts and theories. Our solutions range from the dreamlike intelligent business management software to brilliant, state-of-the-art robotic systems. All customized to give our clients the true business value, in terms of Return On Investment, of artificial intelligent solutions.

Sypron provides these solutions through three divisions: Software; Robotics and Automation; and Advanced Development.",A 21st century tech company that provides intelligent solutions to meet customers’ aspirations. ,1304,http://www.sypron.com,sypron.com,Dubai,"Silicon Oasis Street, Dubai, Dubai Silicon Oasis, AE",,IT Services and IT Consulting,11-50 employees,"Dubai, Dubai",2016,"Software, Robotics, and Artificial Intelligence",12955183,12955183,https://www.linkedin.com/sales/company/12955183/,12,Sypron Solutions,https://www.linkedin.com/company/12955183/,2023-05-05T15:38:39.808Z,https://www.linkedin.com/company/sypron-solutions/,,
Enterprise Software Engineering ESE,https://media.licdn.com/dms/image/C4E0BAQG44yQSTKNt2Q/company-logo_200_200/0/1519867822919?e=1691625600&v=beta&t=ebkXLUD_QaS4KblKVH7HxJCsLnDgzwffbxk7Y6D3V_I,,"ESE is an international business solutions provider company based in Egypt. We design, build, and manage mission-critical environments for businesses that have no room for error.

ESE has long profound experience  in programming, implementing IT solutions for different  organization
in Switzerland and Germany.

Our core message is in offering an easy, customizable, fair price, high quality solutions.

Our core objective is to be positioned as the easiest solutions for managing and controlling companies’ flows is an accurate and secure way. 

Our Vision is to make our name one of the leading IT solution providers in the Egyptian  and international market.

Our know-how
Our main experience came with our highly qualified software engineers and IT professionals who have been in IT business for almost a decade. we provide our customers with security and optional development frame work they require for their business continuity and improvement needs. 

We are confident that you will be very satisfied with the services that we offer.  

  Business Development Solutions  
             (ERP -CRM-DAM-KPI) 
  Web Development Solutions  
        (Business Portal - CMS - E-business & E-Commerce solutions- Website Design & Programming)
  IT Consulting  
      (Business Consulting- Technology Consulting)  
  Creative Design 
      (Web Design - Logo design -Brand Development - Artwork & Graphic Design)",,51,http://www.ese-ltd.com,ese-ltd.com,,,,IT Services and IT Consulting,11-50 employees,,2009,"Business Development Solutions, Web Development Solutions, IT Consulting, and Creative Design",3103731,,https://www.linkedin.com/sales/company/3103731/,,Enterprise Software Engineering ESE,https://www.linkedin.com/company/3103731/,2023-05-05T15:39:08.488Z,https://www.linkedin.com/company/enterprise-software-engineering-ese/,,
Backslash.Solutions,https://media.licdn.com/dms/image/C510BAQE2zCckj5cUdA/company-logo_200_200/0/1519866011102?e=1691625600&v=beta&t=EFxdl90mzdTSmLfS49UhgknZHXqgFr0PFiDcOYIjfrw,,"Backslash is a digital creative agency specialized in web design, web development, mobile applications, search engines optimization, and social media integration.",,33,,,Nasr City,"8th district, Nasr City, Cairo 11762, EG",,IT Services and IT Consulting,2-10 employees,"Nasr City, Cairo",2015,"Web Design, Web Development, Mobile Application, Search Engine Optimization, Social Media Integration, and Database Integration",10300391,,https://www.linkedin.com/sales/company/10300391/,,Backslash.Solutions,https://www.linkedin.com/company/10300391/,2023-05-05T15:39:16.973Z,https://www.linkedin.com/company/backslash.solutions/,,
TechnoWelle GmbH,https://media.licdn.com/dms/image/C4D0BAQFJYSSG4WIixA/company-logo_200_200/0/1623076298125?e=1691625600&v=beta&t=ctb7tRmvUSwkcMkg5W7XXssdNbiulSOCYjda52oWnZ4,https://media.licdn.com/dms/image/D4D1BAQGMexOKIPmzfw/company-background_10000/0/1674645086764?e=1683907200&v=beta&t=_D2Ng_ulSVSljLEdBH5jzVikQyxaF5vq9keMp7EdCbs,"Technowelle is german company specialised in new technologies development for automotive field , in nearshore and offshore sites",Building innovative software solutions for the Automotive industry.,2419,https://techno-welle.com/,https://techno-welle.com,Darmstadt,"Hilpertstraße 27, Darmstadt, 64295, DE",004960783010131,Software Development,11-50 employees,"Darmstadt, Hesse",,,42111431,42111431,https://www.linkedin.com/sales/company/42111431/,30,TechnoWelle GmbH,https://www.linkedin.com/company/42111431/,2023-05-05T15:39:25.502Z,https://www.linkedin.com/company/technowelle-gmbh/,,
City of Scientific Research and Technological Applications SRTA-City,https://media.licdn.com/dms/image/C4D0BAQF61izrsMqc2w/company-logo_200_200/0/1678134508530?e=1691625600&v=beta&t=GLCVI3cHWG9yvhrOu738-dfXszSHpHrf8f1aUmVbFXQ,https://media.licdn.com/dms/image/C4E1BAQFiHFj4qwBFFA/company-background_10000/0/1622022710696?e=1683907200&v=beta&t=aeBTmeXFjYPmflYhuS1vmwlARb9IRhkxiwjz3U4G6iw, إنشاء مراكز تميز علمي وتكنولوجي لخدمة أهداف التنمية الاقتصادية والاجتماعية بمصر. - تنمية وتطوير التكنولوجيات الجديدة وتطبيق الأساليب العلمية الحديثة في كافة مجالات الإنتاج والخدمات وربط خطط البحوث والتطوير بأهداف خطة التنمية - المشاركة في وضع السياسات العلمية والتكنولوجية لمصر ، والمساهمة في تحديد أهم مشكلات التنمية بالبلاد ووضع أفضل الحلول لها. - توفير خدمات التدريب والاستشارات ونقل التكنولوجيا لكافة جهات الإنتاج والخدمات بمصر والمنطقة . - تنفيذ مشروعات تطبيقية لتطوير الأداء في مجالات تخصص المدينة ولخدمة الاقتصاد الوطني . - التعاون مع المؤسسات القومية والدولية في مجال نقل التكنولوجيا . ,هيئة بحثية مصرية تم افتتاحها في 13 أغسطس عام 2000 لربط الأبحاث العلمية بشراكة قوية مع الشركات الصناعية,9635,http://srtacity.sci.eg/?fbclid=IwAR1o-bAR_8E3VduCERpT_H1ylKRtZsL16m6IC4zFBjUsRMYqgPJi62MydfY,srtacity.sci.eg/?fbclid=IwAR1o-bAR_8E3VduCERpT_H1ylKRtZsL16m6IC4zFBjUsRMYqgPJi62MydfY,الاسكندرية,"مدينة برج العرب الجديدة, الاسكندرية, الإسكندرية 12934, EG",034593420,Research Services,"501-1,000 employees","الاسكندرية, الإسكندرية",2000,,74377691,74377691,https://www.linkedin.com/sales/company/74377691/,220,City of Scientific Research and Technological Applications SRTA-City,https://www.linkedin.com/company/74377691/,2023-05-05T15:39:34.290Z,https://www.linkedin.com/company/srtacity/,,
مركز المعلومات ودعم اتخاذ القرار بمجلس الوزراء - Information and Decision Support Center IDSC,https://media.licdn.com/dms/image/C4D0BAQEzKQvZI4moHw/company-logo_200_200/0/1671961270311?e=1691625600&v=beta&t=ggpNPM4mJj1vCJT1W59hlSPVOVII9u8jc4AvCFTJ-Qg,https://media.licdn.com/dms/image/D4D1BAQGiMdT8hRkY7Q/company-background_10000/0/1682591916435?e=1683907200&v=beta&t=svNGmx5kfbgUydM8TsUjldtSpUTtLSuLzhM_v9iwY0g,"أُنشئ مركز المعلومات ودعم اتخاذ القرار في 15 نوفمبر 1985، ويُعد أحد مراكز الفكر المتميزة في مصر، التي من مهامها الرئيسية دعم متخذ القرار في القضايا الاقتصادية والاجتماعية والسياسية، ويسعى المركز منذ نشأته نحو تناول القضايا ذات الأولوية لدفع جهود الإصلاح المؤثرة على مسار التنمية.

إلى جانب ما تقدم، يسعى المركز إلى تنمية العلاقات مع الوزارات والهيئات الحكومية المختلفة، ويعمل على فتح قنوات للاتصال الجماهيري لقياس اتجاهات المجتمع نحو القضايا القومية، وعلى إتاحة البيانات والمعلومات في إطار كامل من الشفافية والحيادية، مع التركيز على الإتاحة الألكترونية.

وقد أسهم المركز بشكل كبير في بلورة الآراء والمفاهيم التي أثّرت في السياسات الخارجية والداخلية للحكومة المصرية، وذلك من خلال إصدار البحوث المتنوعة في مختلف الموضوعات، ونشر الكتب وأوراق العمل وإعداد الدوريات واستطلاعات الرأي، إلى جانب عقد الندوات والمؤتمرات وورش العمل وتنظيم برامج التدريب.

The Egyptian Cabinet’s Information and Decision Support Center (IDSC) stands as one of the distinguished Think Tanks in Egypt, particularly for the Cabinet. Its main task is to support decision makers with regard to economic, social and political issues, while placing emphasis on priority issues to foster the reform efforts that push the development march forward.

Moreover, IDSC strives to enhance relations with different ministries and government authorities, and to open communication channels with the public to measure the society’s attitudes towards national issues. IDSC also works on disseminating data and information, focusing on electronic dissemination.

IDSC has significantly contributed to crystallizing the opinions and concepts that have an impact on the Egyptian government’s foreign and national policies through publishing various research, covering diversified themes, as well as books and working papers. Besides, periodicals and public opinion polls are prepared. It also organizes seminars, conferences, workshops and training programs.
",,39477,http://www.idsc.gov.eg,idsc.gov.eg,Cairo,"1ش مجلس الشعب - ,, قصر العينى, Cairo,  11582, EG",02 27929292,Government Administration,"501-1,000 employees",,1985,"دعم القرار, نظم المعلومات, and استطلاعات الراى",10570079,10570079,https://www.linkedin.com/sales/company/10570079/,395,مركز المعلومات ودعم اتخاذ القرار بمجلس الوزراء - Information and Decision Support Center IDSC,https://www.linkedin.com/company/10570079/,2023-05-05T15:39:41.911Z,https://www.linkedin.com/company/%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D9%88%D8%AF%D8%B9%D9%85-%D8%A7%D8%AA%D8%AE%D8%A7%D8%B0-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D8%B1-%D8%A8%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%89/,,
Torpedo ROV,https://media.licdn.com/dms/image/C4D0BAQE2EjG_OIeCeA/company-logo_200_200/0/1519865015600?e=1691625600&v=beta&t=yMf3Z0A2sZtY_3Zp7MXZNbfWgMPKFRTy-ZLLareLcLA,https://media.licdn.com/dms/image/C4D1BAQH2CbDAdM5bCw/company-background_10000/0/1519796325407?e=1683907200&v=beta&t=63mXeXWrx1oLaNkZJmOgQL30Kr1HRhhj_rvvB1vYscw,"Torpedo is a robotics team specialized in ROV construction. Our headquarters is based in Alexandria. We represent Egypt in international competitions.
",,189,http://www.facebook.com/torpedobrotherhood,facebook.com/torpedobrotherhood,Alexandria,"Lotfy El-Sied st. off Gamal Abd El-Naser, Alexandria, Egypt 11432, EG",,Automation Machinery Manufacturing,11-50 employees,"Alexandria, Egypt",2014,ROV and Robotics,18220094,18220094,https://www.linkedin.com/sales/company/18220094/,14,Torpedo ROV,https://www.linkedin.com/company/18220094/,2023-05-05T15:39:50.142Z,https://www.linkedin.com/company/torpedo-rov/,,
ITSpark,https://media.licdn.com/dms/image/C4D0BAQGUXpNATHSJhw/company-logo_200_200/0/1620393646353?e=1691625600&v=beta&t=EkwizuI-ay-TCssZ-X3niCPxJlSuibLYYL2Yt3h9aiU,https://media.licdn.com/dms/image/D4D1BAQHvREfsbYP02Q/company-background_10000/0/1680790800198?e=1683907200&v=beta&t=syYrMEnQ9eQhcvaUIios9C-xk0Tg_aIIEDvO5CVjxRo,"ITSpark is a leading software professional services company. We provide fast, professional and customizable services and software consultancy to meet growing business needs of our customers. We have a great experience in the maritime sector, knowing its customers’ needs and always have a solution for helping them to improve their business to be capable of competing in wide market. We give our customers the edge they need to compete in today’s fast-paced business environment. We provide an array of services stemming from web and related technologies. According to our customers business needs, we draw the most comprehensive tool to fit their goals. We offer a wide variety of effective services and products that can enhance our customers’ business process.",,542,http://www.itspark-eg.com,itspark-eg.com,Alex,"57 EL FATH, FELMNG, Alex, Alex 21111, eg",,IT Services and IT Consulting,2-10 employees,"Alex, Alex",2012,"Software Development, Web Solutions, Mobile Applications, Networking, and Web Hosting",2631285,2631285,https://www.linkedin.com/sales/company/2631285/,19,ITSpark,https://www.linkedin.com/company/2631285/,2023-05-05T15:39:57.770Z,https://www.linkedin.com/company/itspark/,,
Technopolitan,https://media.licdn.com/dms/image/C4D0BAQH8ucsmFhkRjA/company-logo_200_200/0/1658856589654?e=1691625600&v=beta&t=oGG62svowxKR2CwgNZC2axgypmJ29yePTJ1YLPFfJAQ,https://media.licdn.com/dms/image/D4D1BAQH7yaJODtQlDQ/company-background_10000/0/1659278780563?e=1683907200&v=beta&t=IK_jTNEQ5Y_YIdm_wS0s5Wb_23gja9XwjVgQpsnB_Tw,"We are currently the only PropTech player in Egypt that provides an all-in-one solution covering multiple industries, unlocking the enormous value held in developing unique experiences for customers across these verticals.

With occupier safety now critical, we also offer multi-location Access, automated lead management, billing & e-payment,  contactless access, agile, mobile space-booking, tenant, member & employee management, arrival time management, and the ability to prioritize teams by HR and office managers.

We firmly believe that by building engaged communities and simplifying access to on-site facilities, we can provide organizations with the tools they need to remain competitive in an ever-changing and increasingly competitive landscape.","Technopolitan is a PropTech service provider & Leasing Commercial Real Estate, focused on Digitizing Spaces of Tomorrow",976,http://www.techno-politan.com,techno-politan.com,Giza,"4 Tahran Square off Mosadak, Floor 14, 143, Giza,   EG",,Leasing Non-residential Real Estate,11-50 employees,,2020,,72149134,72149134,https://www.linkedin.com/sales/company/72149134/,22,Technopolitan,https://www.linkedin.com/company/72149134/,2023-05-05T15:40:05.006Z,https://www.linkedin.com/company/technopolitan/,,
GirlScript Summer of Code,https://media.licdn.com/dms/image/C510BAQGSObrO0QPlMQ/company-logo_200_200/0/1555704980721?e=1691625600&v=beta&t=a6nqYPpkGO624LkgeHQj7YixsuihzcC2mBohUfRR_n8,https://media.licdn.com/dms/image/C511BAQGCHxUbLAfxow/company-background_10000/0/1555705127794?e=1683907200&v=beta&t=DgTfou1MrZKCB5blV432IgTUaVTlVoROzIQG-nADDak,"GirlScript Summer of Code is the 3 month long Open Source program during summers conducted by GirlScript Foundation, started in 2018, with an aim to help beginners get started with Open Source Development while encouraging diversity. Throughout the program, participants contribute to different projects under guidance of experienced mentors. Top participants get exciting goodies and opportunities.","GSSoC is a 3-month long #OpenSource program by GirlScript Foundation, India.",59517,https://gssoc.girlscript.tech/,https://gssoc.girlscript.tech,Delhi,"Delhi,   IN",,Information Technology & Services,11-50 employees,,2018,,14488336,14488336,https://www.linkedin.com/sales/company/14488336/,250,GirlScript Summer of Code,https://www.linkedin.com/company/14488336/,2023-05-05T15:40:12.931Z,https://www.linkedin.com/company/girlscriptsoc/,,
Gtera Solutions,https://media.licdn.com/dms/image/C4E0BAQEUWsNc-xPy9Q/company-logo_200_200/0/1631467003347?e=1691625600&v=beta&t=anAITL9CdoZCFSyiE54G10WuEIzA2Q3nrLZbsSLkO9U,https://media.licdn.com/dms/image/C4E1BAQFZIsP925vFWg/company-background_10000/0/1634199875597?e=1683907200&v=beta&t=m_aKYVb40pGFYAv_aAajG_gEIgYSRoWRc7mPkIuwY-I,"Gtera Solutions provides end-to-end solutions and software engineering services. We are accelerating the process of building an affordable coherent software team with the right skills, whether your company is a small or a medium enterprise or a startup.",Tech Years Ahead!,589,https://www.gtera.com,https://gtera.com,Alexandria,"20 Green Towers Compound, Smouha, Alexandria, 20246, EG",+201033033411,Software Development,11-50 employees,"Alexandria, Alexandria",2021,Web Development and Mobile Development,80078458,80078458,https://www.linkedin.com/sales/company/80078458/,1,Gtera Solutions,https://www.linkedin.com/company/80078458/,2023-05-05T15:40:20.629Z,https://www.linkedin.com/company/gtera-solutions/,,
Egyptian Armed Forces Engineering Authority - الهيئة الهندسية للقوات المسلحة المصرية,https://media.licdn.com/dms/image/C4D0BAQGYMsEROTL80g/company-logo_200_200/0/1619821711387?e=1691625600&v=beta&t=VPdYejgLNcdZaTggroFuq7EyUVsbRaV46Vaeqj0BT_U,,"Armed Forces Engineering Authority is one of the Egyptian Ministry of Defense agencies.
Tasks:
Contribute in the areas of development in Egypt and the establishment of major development projects.

Contribute to remove the effects of local disasters and crises.

Participation of in the aftermath of a major disaster to remove the effects (to reconstruct).

Participation in infrastructure and construction of bridges, roads and fields.

Participation in education by building schools.

Participation in the fields of psychology and clearing of land mines and explosive remnants of war.

Participation in the areas of political development and the development of sports facilitiesSupply the civil sector effective cadres.

Participation in the area of economic housing.

General planning of cities and the creation of Bedouin villages and Nubian houses.

Remove the effects of disasters and floods and earthquakes, removing bombs and booby traps",,4488,https://www.mod.gov.eg/ModWebSite/Default.aspx,https://mod.gov.eg/ModWebSite/Default.aspx,cairo,"Khalifa Al-Ma'mon street, cairo,   EG",,Construction,"1,001-5,000 employees",,,,72452690,72452690,https://www.linkedin.com/sales/company/72452690/,540,Egyptian Armed Forces Engineering Authority - الهيئة الهندسية للقوات المسلحة المصرية,https://www.linkedin.com/company/72452690/,2023-05-05T15:40:29.126Z,https://www.linkedin.com/company/eaegyaf/,,
AvidBeam Technologies,https://media.licdn.com/dms/image/C4D0BAQE6KTDS5ZToqA/company-logo_200_200/0/1604229145601?e=1691625600&v=beta&t=w2IdpOzcdSc21-zQnFJbH_JRwA5dWGDW7MPLKDNt75c,https://media.licdn.com/dms/image/C561BAQHQGpXOaLpStw/company-background_10000/0/1554725172146?e=1683907200&v=beta&t=pbUZYjGh0cVlsozMA54ZKXY_Nm989WSO0Unioqk5V5E,"AvidBeam® is an AI video analytics company that pushes the boundaries of video processing capabilities with big data distributed architecture. Its expertise in computer vision, deep learning, visualization and neural networks enable AvidBeam®  to offer scalable video analytics solutions for security, safety and business intelligence applications to its customers.

AvidBeam team delivers video processing and analytics products cutting across various verticals and geographies  including Smart Cities, Smart Retail, Transportation, Oil & Gas, Healthcare, Education, etc in the Middle East, Gulf and North America.

Headquartered in the Netherlands with teams in the US, Egypt and Saudi Arabia.
","Analyze thousands of videos efficiently in real-time, Extract intelligence information in the blink of an eye",5708,http://www.avidbeam.com,avidbeam.com,Amsterdam,"Jan van Goyenkade 8, Amsterdam, 1075 HS, NL",,IT Services and IT Consulting,11-50 employees,"Amsterdam, North Holland",2014,"Information Technology, Cloud Computing, Video Big Data Analytics, Computer Vision, Artificial Intelligence, and Visualization",5339391,5339391,https://www.linkedin.com/sales/company/5339391/,31,AvidBeam Technologies,https://www.linkedin.com/company/5339391/,2023-05-05T15:40:38.088Z,https://www.linkedin.com/company/avidbeam/,,
Agile Technologies,https://media.licdn.com/dms/image/C560BAQFsY1UakfmuiA/company-logo_200_200/0/1578325963876?e=1691625600&v=beta&t=ntzNp7dUIHiTWTUpLJBT0tJqI7-3SfnCPnnF8mtNHcU,https://media.licdn.com/dms/image/C561BAQEYE2CmKTf_9A/company-background_10000/0/1567947459997?e=1683907200&v=beta&t=qJOPbKaYh3tgHr6qjstTvDvVIkCk9EJrOJq7MbnwslI,"Agile Technologies is one of the region leaders in technology and process consulting. The main headquarters is in Netherlands, with offices in Dubai, Abu Dhabi, Cairo, Jordan, Kuwait and Tallinn, Estonia.

Agile Technologies has one goal: become a reliable partner who facilitates processes and promotes growth through digital transformations. This is achieved by providing high quality consultation, advanced training, DevOps sessions as well as development and testing services. Agile Technologies’ team brings A-class services by  having a dedicated and focused network of professional resources. They have decades of combined experience and a vast support network behind them. Agile Technologies supports onsite, offshore and customized engagement models. 

Agile Technologies expands when its partners grow and develop and by acquiring high quality candidates. If you wish to join us or utilize some of our many benefits, please contact us.  
",A Partner You Trust,9355,http://www.agiletz.com,agiletz.com,Amesterdam,"Herengracht 449A, 1017BR , Amesterdam, NL",,IT Services and IT Consulting,51-200 employees,,2015,"Technology solutions, DevOps, ALM Consulting, CRM Dynamics, Business Intelligence, Azure Services, Technology Consulting, Data Analytics, Big Data, Deloitte partner, Outsystems Partner, and Microsoft partner",17922874,17922874,https://www.linkedin.com/sales/company/17922874/,60,Agile Technologies,https://www.linkedin.com/company/17922874/,2023-05-05T15:40:46.627Z,https://www.linkedin.com/company/agiletz/,,
Cloudzlab,https://media.licdn.com/dms/image/C4D0BAQFi2TjSiVi_Aw/company-logo_200_200/0/1678987166496?e=1691625600&v=beta&t=rs82PMncq9hAVYdwbczHscQ2RzEbRl0pwLttNMdV_IA,https://media.licdn.com/dms/image/D4D1BAQE0rZ94vp6vEg/company-background_10000/0/1678987235806?e=1683907200&v=beta&t=UaOfZDcB0hDRzUJVJ1XbJZMMa4qfU3zWk4_mexFSdss,"Cloudzlab has established in 2015 focusing on Business Consulting services for Salesforce platform. Our exceptional team of cloud experts, developers and product support specialists have extensive experience working with Salesforce cloud platform, APIs and professional services for all Salesforce products.
 
We believe that every organization is unique and has its own requirements ,this is where we enter to help their businesses to customize Salesforce for their  complex functionalities & integrations with their backbone applications ,We help our clients to become more agile, flexible, IT environments that scale to meet new demands.
 
Regardless your company size ,budget or timeframe, We have solutions to avoid you from all these obstacles and transfer your business to next level via today’s  #1 Salesforce Platform. It’s the Era of selecting a strategic powerful platform to handle your operations, It’s the Era of Cloud force.",CONNECTING THE DOTS AND REVEAL YOUR PATH TO SUCCESS,1800,https://cloudzlab.com/,https://cloudzlab.com,Cairo,"22 Kamal El-Din Hussein Street, Cairo, EG",,Information Technology & Services,51-200 employees,"Cairo, Heliopolis",2015,"Salesforce Products, Force.com, Business Consulting, Support, Sales Cloud Implementation, Service Cloud Implementation, and Marketing Automation",9457348,9457348,https://www.linkedin.com/sales/company/9457348/,44,Cloudzlab,https://www.linkedin.com/company/9457348/,2023-05-05T15:40:55.228Z,https://www.linkedin.com/company/cloudzlab/,,
